Date,Open,High,Low,Close,Adj Close,Volume
2019-03-13,1.600000,1.680000,1.520000,1.660000,1.660000,545300
2019-03-14,1.670000,1.700000,1.480000,1.490000,1.490000,910900
2019-03-15,1.090000,1.160000,1.060000,1.110000,1.110000,5265700
2019-03-18,1.220000,1.220000,1.130000,1.160000,1.160000,1306000
2019-03-19,1.150000,1.190000,1.150000,1.170000,1.170000,815000
2019-03-20,1.140000,1.180000,1.110000,1.160000,1.160000,556900
2019-03-21,1.160000,1.200000,1.160000,1.170000,1.170000,650700
2019-03-22,1.180000,1.180000,1.050000,1.100000,1.100000,1230600
2019-03-25,1.110000,1.160000,1.060000,1.140000,1.140000,744000
2019-03-26,1.150000,1.180000,1.110000,1.120000,1.120000,725200
2019-03-27,1.130000,1.180000,1.110000,1.180000,1.180000,545700
2019-03-28,1.170000,1.270000,1.170000,1.260000,1.260000,1289200
2019-03-29,1.260000,1.350000,1.260000,1.340000,1.340000,957200
2019-04-01,1.340000,1.350000,1.280000,1.300000,1.300000,620600
2019-04-02,1.300000,1.300000,1.250000,1.290000,1.290000,629000
2019-04-03,1.330000,1.330000,1.260000,1.310000,1.310000,368100
2019-04-04,1.310000,1.320000,1.280000,1.300000,1.300000,290300
2019-04-05,1.330000,1.400000,1.290000,1.400000,1.400000,580300
2019-04-08,1.400000,1.400000,1.310000,1.370000,1.370000,571400
2019-04-09,1.390000,1.420000,1.360000,1.380000,1.380000,615000
2019-04-10,1.380000,1.420000,1.350000,1.420000,1.420000,368400
2019-04-11,1.400000,1.420000,1.350000,1.350000,1.350000,346000
2019-04-12,1.360000,1.390000,1.280000,1.290000,1.290000,656900
2019-04-15,1.300000,1.300000,1.220000,1.270000,1.270000,407400
2019-04-16,1.290000,1.370000,1.260000,1.330000,1.330000,427100
2019-04-17,1.340000,1.360000,1.250000,1.260000,1.260000,381700
2019-04-18,1.250000,1.270000,1.180000,1.190000,1.190000,752100
2019-04-22,1.190000,1.230000,1.180000,1.220000,1.220000,425500
2019-04-23,1.240000,1.280000,1.220000,1.270000,1.270000,392400
2019-04-24,1.260000,1.280000,1.210000,1.250000,1.250000,299500
2019-04-25,1.250000,1.300000,1.210000,1.230000,1.230000,212400
2019-04-26,1.230000,1.250000,1.180000,1.220000,1.220000,349700
2019-04-29,1.210000,1.260000,1.200000,1.210000,1.210000,343000
2019-04-30,1.220000,1.270000,1.200000,1.250000,1.250000,423100
2019-05-01,1.260000,1.280000,1.210000,1.220000,1.220000,631500
2019-05-02,1.220000,1.350000,1.210000,1.320000,1.320000,630900
2019-05-03,1.330000,1.360000,1.260000,1.280000,1.280000,338600
2019-05-06,1.260000,1.300000,1.220000,1.260000,1.260000,618000
2019-05-07,1.210000,1.260000,1.160000,1.210000,1.210000,1054100
2019-05-08,1.200000,1.250000,1.160000,1.240000,1.240000,432400
2019-05-09,1.230000,1.240000,1.180000,1.230000,1.230000,396600
2019-05-10,1.210000,1.230000,1.170000,1.210000,1.210000,331200
2019-05-13,1.190000,1.200000,1.100000,1.120000,1.120000,561000
2019-05-14,1.130000,1.170000,1.110000,1.170000,1.170000,442800
2019-05-15,1.150000,1.200000,1.130000,1.130000,1.130000,328300
2019-05-16,1.140000,1.150000,1.120000,1.130000,1.130000,183000
2019-05-17,1.100000,1.130000,1.070000,1.100000,1.100000,366600
2019-05-20,1.100000,1.140000,1.040000,1.110000,1.110000,407100
2019-05-21,1.210000,1.250000,1.120000,1.120000,1.120000,1213000
2019-05-22,1.110000,1.170000,1.110000,1.160000,1.160000,229500
2019-05-23,1.150000,1.150000,1.070000,1.140000,1.140000,518600
2019-05-24,1.160000,1.270000,1.130000,1.260000,1.260000,712900
2019-05-28,1.290000,1.300000,1.220000,1.250000,1.250000,622400
2019-05-29,1.230000,1.280000,1.200000,1.210000,1.210000,346000
2019-05-30,1.230000,1.260000,1.140000,1.170000,1.170000,233400
2019-05-31,1.160000,1.220000,1.140000,1.150000,1.150000,405700
2019-06-03,1.150000,1.200000,1.090000,1.100000,1.100000,668900
2019-06-04,1.110000,1.140000,1.110000,1.120000,1.120000,473000
2019-06-05,1.110000,1.140000,1.040000,1.040000,1.040000,618000
2019-06-06,1.060000,1.070000,1.050000,1.070000,1.070000,260100
2019-06-07,1.080000,1.080000,1.030000,1.060000,1.060000,408300
2019-06-10,1.050000,1.130000,1.050000,1.110000,1.110000,584000
2019-06-11,1.110000,1.170000,1.100000,1.160000,1.160000,624900
2019-06-12,1.140000,1.190000,1.100000,1.140000,1.140000,435900
2019-06-13,1.130000,1.160000,1.110000,1.150000,1.150000,259900
2019-06-14,1.160000,1.170000,1.110000,1.150000,1.150000,242500
2019-06-17,1.150000,1.230000,1.120000,1.210000,1.210000,605700
2019-06-18,1.210000,1.290000,1.190000,1.260000,1.260000,747800
2019-06-19,1.290000,1.290000,1.190000,1.240000,1.240000,474200
2019-06-20,1.270000,1.270000,1.210000,1.240000,1.240000,328700
2019-06-21,1.210000,1.390000,1.180000,1.330000,1.330000,1523200
2019-06-24,1.330000,1.350000,1.200000,1.260000,1.260000,677500
2019-06-25,1.260000,1.270000,1.220000,1.240000,1.240000,328900
2019-06-26,1.230000,1.280000,1.190000,1.190000,1.190000,448600
2019-06-27,1.200000,1.210000,1.110000,1.130000,1.130000,1143400
2019-06-28,1.130000,1.160000,1.080000,1.090000,1.090000,6566800
2019-07-01,1.100000,1.210000,1.090000,1.140000,1.140000,851900
2019-07-02,1.150000,1.210000,1.120000,1.120000,1.120000,568800
2019-07-03,1.140000,1.210000,1.140000,1.200000,1.200000,333600
2019-07-05,1.180000,1.200000,1.150000,1.180000,1.180000,275300
2019-07-08,1.170000,1.180000,1.130000,1.170000,1.170000,365000
2019-07-09,1.150000,1.200000,1.130000,1.180000,1.180000,171700
2019-07-10,1.190000,1.230000,1.140000,1.160000,1.160000,324500
2019-07-11,1.170000,1.240000,1.140000,1.220000,1.220000,458800
2019-07-12,1.230000,1.230000,1.150000,1.160000,1.160000,401900
2019-07-15,1.170000,1.180000,1.140000,1.180000,1.180000,299600
2019-07-16,1.170000,1.180000,1.100000,1.100000,1.100000,355600
2019-07-17,1.110000,1.140000,1.100000,1.120000,1.120000,279500
2019-07-18,1.130000,1.160000,1.070000,1.080000,1.080000,363900
2019-07-19,1.080000,1.150000,1.080000,1.100000,1.100000,325000
